rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction
0,1,1785396376641,0.539010269,0.679649,0,195,0,0,0,0,0,0,1.000000
0,2,1785396376861,0.537468641,0.679886,0,153,0,0,0,0,0,16,1.000000
0,3,1785396377089,0.5361341817,0.679937,0,167,0,0,0,0,0,16,1.000000
0,4,1785396377318,0.5355451601,0.679954,0,167,0,0,0,0,0,16,1.000000
0,5,1785396377582,0.5351310402,0.679952,0,203,0,0,0,0,0,16,1.000000
0,6,1785396377849,0.5347106377,0.679933,0,206,0,0,0,0,0,16,1.000000
0,7,1785396378089,0.5341142119,0.679881,0,177,0,0,0,0,0,16,1.000000
0,8,1785396378322,0.5330369223,0.679747,0,165,0,0,0,0,0,16,1.000000
0,9,1785396378540,0.5306899926,0.679364,0,149,0,0,0,0,0,16,1.000000
0,10,1785396378745,0.5246718694,0.678098,0,128,0,0,0,0,0,16,1.000000
0,11,1785396378917,0.5068671053,0.675876,0,93,0,0,0,0,0,16,1.000000
0,12,1785396379072,0.4648795505,0.674844,0,77,0,0,0,0,0,16,1.000000
0,13,1785396379218,0.4202747236,0.675865,0,64,0,0,0,0,0,16,1.000000
0,14,1785396379376,0.3934775374,0.677126,0,80,0,0,0,0,0,16,1.000000
0,15,1785396379580,0.3756676137,0.678429,0,125,0,0,0,0,0,16,1.000000
0,16,1785396379740,0.3657818894,0.679274,0,81,0,0,0,0,0,16,1.000000
0,17,1785396379896,0.3605874392,0.679665,0,77,0,0,0,0,0,16,1.000000
0,18,1785396380055,0.3584581084,0.679806,0,82,0,0,0,0,0,16,1.000000
0,19,1785396380207,0.3576513477,0.679903,0,75,0,0,0,0,0,16,1.000000
0,20,1785396380350,0.3572746636,0.679941,0,65,0,0,0,0,0,16,1.000000
0,21,1785396380552,0.3570700916,0.679960,0,138,0,0,0,0,0,16,1.000000
0,22,1785396380706,0.3569381631,0.679966,0,75,0,0,0,0,0,16,1.000000
0,23,1785396380857,0.3568381556,0.679973,0,71,0,0,0,0,0,16,1.000000
0,24,1785396381019,0.3567522526,0.679978,0,80,0,0,0,0,0,16,1.000000
0,25,1785396381167,0.3566863088,0.679984,0,70,0,0,0,0,0,16,1.000000
0,26,1785396381320,0.3566327093,0.679989,0,71,0,0,0,0,0,16,1.000000
0,27,1785396381469,0.3565943111,0.679991,0,68,0,0,0,0,0,16,1.000000
0,28,1785396381610,0.3565656046,0.679992,0,63,0,0,0,0,0,16,1.000000
0,29,1785396381757,0.3565402806,0.679993,0,70,0,0,0,0,0,16,1.000000
0,30,1785396381908,0.356518556,0.679994,0,73,0,0,0,0,0,16,1.000000
0,31,1785396382065,0.3565012985,0.679994,0,81,0,0,0,0,0,16,1.000000
0,32,1785396382226,0.3564839709,0.679993,0,80,0,0,0,0,0,16,1.000000
0,33,1785396382379,0.3564634762,0.679993,0,72,0,0,0,0,0,16,1.000000
0,34,1785396382526,0.3564428668,0.679992,1,69,0,0,0,0,0,16,1.000000
0,35,1785396383012,0.401118457,0.672498,0,147,0,1,0,0,0,16,1.000000
0,36,1785396383195,0.3962129705,0.674746,0,110,0,1,0,0,0,16,1.000000
0,37,1785396383386,0.3803064251,0.676577,0,118,0,1,0,0,0,16,1.000000
0,38,1785396383584,0.3712860427,0.677343,0,123,0,1,0,0,0,16,1.000000
0,39,1785396383779,0.3654972125,0.677899,0,121,0,1,0,0,0,16,1.000000
0,40,1785396383973,0.3611900332,0.678465,0,122,0,1,0,0,0,16,1.000000
0,41,1785396384166,0.3582461171,0.678878,0,119,0,1,0,0,0,16,1.000000
0,42,1785396384355,0.3564240696,0.679133,0,116,0,1,0,0,0,16,1.000000
0,43,1785396384546,0.3553356251,0.679280,0,117,0,1,0,0,0,16,1.000000
0,44,1785396384731,0.3546224649,0.679361,0,110,0,1,0,0,0,16,1.000000
0,45,1785396384921,0.3540967031,0.679416,0,115,0,1,0,0,0,16,1.000000
0,46,1785396385106,0.3536826448,0.679469,0,106,0,1,0,0,0,16,1.000000
0,47,1785396385292,0.3533835818,0.679496,0,109,0,1,0,0,0,16,1.000000
0,48,1785396385481,0.3531831853,0.679497,0,117,0,1,0,0,0,16,1.000000
0,49,1785396385658,0.353032744,0.679492,0,100,0,1,0,0,0,16,1.000000
0,50,1785396385832,0.3529135851,0.679495,0,96,0,1,0,0,0,16,1.000000
0,51,1785396385992,0.3528242131,0.679491,0,80,0,1,0,0,0,16,1.000000
0,52,1785396386139,0.3527446189,0.679486,0,71,0,1,0,0,0,16,1.000000
0,53,1785396386290,0.3526626361,0.679485,0,69,0,1,0,0,0,16,1.000000
0,54,1785396386441,0.3525833897,0.679484,0,72,0,1,0,0,0,16,1.000000
0,55,1785396386602,0.3525163966,0.679483,0,72,0,1,0,0,0,16,1.000000
0,56,1785396386771,0.3524580482,0.679485,0,73,0,1,0,0,0,16,1.000000
0,57,1785396386979,0.3524008813,0.679490,0,74,0,1,0,0,0,16,1.000000
0,58,1785396387175,0.3523503338,0.679496,0,72,0,1,0,0,0,16,1.000000
0,59,1785396387367,0.3523123502,0.679494,0,78,0,1,0,0,0,16,1.000000
0,60,1785396387787,0.3522822942,0.679492,0,71,0,1,0,0,0,16,1.000000
0,61,1785396388296,0.3522567486,0.679490,0,94,0,1,0,0,0,16,1.000000
0,62,1785396388678,0.3522350024,0.679487,0,89,0,1,0,0,0,16,1.000000
0,63,1785396389123,0.3522120998,0.679485,0,88,0,1,0,0,0,16,1.000000
0,64,1785396389330,0.3521882302,0.679479,0,83,0,1,0,0,0,16,1.000000
0,65,1785396389518,0.3521622653,0.679472,0,75,0,1,0,0,0,16,1.000000
0,66,1785396389832,0.3521317949,0.679467,1,72,0,1,0,0,0,16,1.000000
0,67,1785396390098,0.3431185826,0.678080,0,79,0,2,0,0,0,16,1.000000
0,68,1785396390409,0.3439150428,0.678154,0,153,0,2,0,0,0,16,1.000000
0,69,1785396390685,0.3438709635,0.678176,0,160,0,2,0,0,0,16,1.000000
0,70,1785396390923,0.3438628693,0.678193,0,160,0,2,0,0,0,16,1.000000
0,71,1785396391147,0.3438567189,0.678208,0,159,0,2,0,0,0,16,1.000000
0,72,1785396391375,0.3438506912,0.678222,0,159,0,2,0,0,0,16,1.000000
0,73,1785396391601,0.3438444865,0.678234,0,157,0,2,0,0,0,16,1.000000
0,74,1785396391824,0.3438384317,0.678244,0,155,0,2,0,0,0,16,1.000000
0,75,1785396392048,0.3438319637,0.678252,0,153,0,2,0,0,0,16,1.000000
0,76,1785396392270,0.3438247476,0.678258,0,150,0,2,0,0,0,16,1.000000
0,77,1785396392488,0.343816368,0.678262,1,146,0,2,0,0,0,16,1.000000
0,78,1785396392702,0.3239301224,0.675270,0,144,0,4,0,0,0,16,1.000000
0,79,1785396392912,0.3252330039,0.675536,0,143,0,4,0,0,0,16,1.000000
0,80,1785396393138,0.3251182214,0.675609,0,156,0,4,0,0,0,16,1.000000
0,81,1785396393362,0.325093623,0.675673,0,155,0,4,0,0,0,16,1.000000
0,82,1785396393589,0.3250745779,0.675733,0,155,0,4,0,0,0,16,1.000000
0,83,1785396393813,0.3250563306,0.675786,0,153,0,4,0,0,0,16,1.000000
0,84,1785396394043,0.3250385711,0.675837,0,152,0,4,0,0,0,16,1.000000
0,85,1785396394266,0.3250203251,0.675883,0,151,0,4,0,0,0,16,1.000000
0,86,1785396394483,0.3250015303,0.675925,0,149,0,4,0,0,0,16,1.000000
0,87,1785396394701,0.3249817543,0.675959,0,146,0,4,0,0,0,16,1.000000
0,88,1785396394916,0.3249605351,0.675988,1,143,0,4,0,0,0,16,1.000000
0,89,1785396395125,0.303523283,0.674169,0,141,0,8,0,0,0,16,1.000000
0,90,1785396395333,0.3041100456,0.674436,0,141,0,8,0,0,0,16,1.000000
0,91,1785396395548,0.3039956461,0.674577,0,151,0,8,0,0,0,16,1.000000
0,92,1785396395761,0.303925482,0.674703,0,149,0,8,0,0,0,16,1.000000
0,93,1785396395973,0.3038614987,0.674828,0,147,0,8,0,0,0,16,1.000000
0,94,1785396396182,0.3038025123,0.674952,0,145,0,8,0,0,0,16,1.000000
0,95,1785396396386,0.3037501031,0.675064,0,141,0,8,0,0,0,16,1.000000
0,96,1785396396594,0.3037027412,0.675159,0,138,0,8,0,0,0,16,1.000000
0,97,1785396396794,0.3036579817,0.675232,0,133,0,8,0,0,0,16,1.000000
